StockCode,Description,Avg_Price,Min_Price,Max_Price,Total_Quantity,Total_Revenue,Transaction_Count,Competitor_A_Price,Competitor_B_Price,Competitor_C_Price,Market_Avg_Price,Price_vs_Market_Pct,Pricing_Flag
22423,REGENCY CAKESTAND 3 TIER,14.131652408824852,0.0,29.95,12784,163051.46,2195,12.54,14.11,15.98,14.21,-0.6, Competitive — Monitor
85123A,WHITE HANGING HEART T-LIGHT HOLDER,3.037844141069397,0.0,6.04,57236,155825.52,3376,2.87,2.99,3.5,3.12,-2.6, Competitive — Monitor
DOT,DOTCOM POSTAGE,158.17313858695653,0.0,1081.7,1231,116401.99,736,146.03,149.41,182.75,159.4,-0.8, Competitive — Monitor
85099B,JUMBO BAG RED WHITE SPOTTY ,2.16130286825474,0.0,5.06,48376,88922.48,2011,1.97,2.19,2.58,2.25,-3.9, Competitive — Monitor
84879,ASSORTED COLOUR BIRD ORNAMENT,1.988347050754458,0.0,26.04,44484,72454.12,1421,1.72,1.92,2.25,1.96,1.4, Competitive — Monitor
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,3.350536246276068,0.0,6.95,17023,57870.2,966,2.9,3.58,3.72,3.4,-1.5, Competitive — Monitor
47566,PARTY BUNTING,5.582257444764649,0.0,9.95,9269,49645.520000000004,1020,4.78,5.66,6.66,5.7,-2.1, Competitive — Monitor
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3.1926737967914436,0.0,5.91,13048,47672.49,356,2.99,3.24,3.66,3.3,-3.3, Competitive — Monitor
POST,POSTAGE,26.381757225433528,0.0,850.0,3754,46092.36,865,24.01,25.77,28.88,26.22,0.6, Competitive — Monitor
21843,RETRO SPOT CAKE STAND,11.828424717145342,0.0,21.7,3955,42333.85,1145,10.89,10.98,12.64,11.5,2.9, Competitive — Monitor
48138,DOOR MAT UNION FLAG,7.536914600550965,0.0,14.43,6376,41886.12,1080,6.42,6.97,8.87,7.42,1.6, Competitive — Monitor
20685,RED SPOTTY COIR DOORMAT,8.023447636700649,0.0,16.98,5862,39597.76,1075,7.6,7.93,8.86,8.13,-1.3, Competitive — Monitor
85099F,JUMBO BAG STRAWBERRY,2.2246927374301677,1.65,5.06,19818,35854.59,1053,2.08,2.08,2.56,2.24,-0.7, Competitive — Monitor
21621,VINTAGE UNION JACK BUNTING,9.203239104829212,7.45,17.83,4120,35819.71,835,8.02,9.36,10.31,9.23,-0.3, Competitive — Monitor
15056N,EDWARDIAN PARASOL NATURAL,6.677561374795418,0.0,13.0,6618,35748.0,606,5.8,7.08,7.21,6.7,-0.3, Competitive — Monitor
20725,LUNCH BAG RED SPOTTY,1.9848271604938272,1.19,5.06,21032,35721.79,1575,1.72,2.11,2.26,2.03,-2.2, Competitive — Monitor
22386,JUMBO BAG PINK WITH WHITE SPOTS,2.2112226277372264,1.18,5.06,18349,34625.27,1073,1.95,2.27,2.34,2.19,1.0, Competitive — Monitor
20914,SET/5 RED SPOTTY LID GLASS BOWLS,3.1654153605015676,0.0,6.04,12267,34230.61,1237,2.86,3.02,3.52,3.13,1.1, Competitive — Monitor
21232,STRAWBERRY CERAMIC TRINKET BOX,1.4440857297883885,0.0,3.36,26563,33834.7,1767,1.29,1.53,1.63,1.48,-2.4, Competitive — Monitor
85099C,JUMBO  BAG BAROQUE BLACK WHITE,2.213618951612903,1.65,5.06,17295,32140.12,972,1.95,2.35,2.47,2.26,-2.1, Competitive — Monitor
15056BL,EDWARDIAN PARASOL BLACK,6.121490787269682,0.0,13.0,6809,31854.2,561,5.58,5.82,7.12,6.17,-0.8, Competitive — Monitor
21931,JUMBO STORAGE BAG SUKI,2.3089180327868855,0.0,5.06,15795,31406.86,1197,1.99,2.4,2.71,2.37,-2.6, Competitive — Monitor
21212,PACK OF 72 RETRO SPOT CAKE CASES,0.6670512157268494,0.38,2.13,59411,31387.82,1865,0.59,0.64,0.78,0.67,-0.4, Competitive — Monitor
79321,CHILLI LIGHTS,5.458033395176252,0.0,11.02,6308,31086.1,537,4.84,5.72,5.76,5.44,0.3, Competitive — Monitor
22189,CREAM HEART CARD HOLDER,4.420379901960785,0.0,8.65,9879,30998.13,808,3.96,4.77,4.77,4.5,-1.8, Competitive — Monitor
21754,HOME BUILDING BLOCK WORD,6.560750360750362,5.45,12.13,5048,30916.72,1341,6.09,6.07,7.42,6.53,0.5, Competitive — Monitor
22114,HOT WATER BOTTLE TEA AND SYMPATHY,4.613767840152237,0.0,9.32,6721,30030.06,1025,4.01,4.91,5.49,4.8,-3.9, Competitive — Monitor
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2.1731415525114155,0.0,5.06,15044,29471.45,1068,1.96,2.22,2.55,2.24,-3.0, Competitive — Monitor
22197,"POPCORN HOLDER , SMALL ",1.003457595526561,0.0,1.95,22913,29312.6,1047,0.91,1.08,1.18,1.06,-5.3, Competitive — Monitor
21623,VINTAGE UNION JACK MEMOBOARD,10.066882352941176,0.0,20.38,3913,28653.239999999998,338,8.6,10.01,11.03,9.88,1.9, Competitive — Monitor
21137,BLACK RECORD COVER FRAME,4.0452536231884055,3.39,7.78,8290,28650.22,274,3.68,4.27,4.51,4.15,-2.5, Competitive — Monitor
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,3.2019607843137257,0.0,6.95,8909,28591.550000000003,699,2.78,2.98,3.59,3.12,2.6, Competitive — Monitor
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,5.389700748129676,0.0,11.26,5735,28422.8,1183,4.62,5.25,5.79,5.22,3.3, Competitive — Monitor
22112,CHOCOLATE HOT WATER BOTTLE,5.634008350730689,4.25,12.72,5503,27758.34,933,5.32,5.24,5.94,5.5,2.4, Competitive — Monitor
21733,RED HANGING HEART T-LIGHT HOLDER,3.0465840707964604,0.0,6.04,9654,27375.98,1089,2.88,3.28,3.63,3.26,-6.5, Competitive — Monitor
48194,DOORMAT HEARTS,8.066234256926952,0.0,14.43,4416,27346.4,784,7.51,8.48,8.76,8.25,-2.2, Competitive — Monitor
22111,SCOTTIE DOG HOT WATER BOTTLE,5.668759541984733,4.25,12.72,5464,27290.27,1002,4.99,5.99,6.16,5.71,-0.7, Competitive — Monitor
21929,JUMBO BAG PINK VINTAGE PAISLEY,2.2979145728643213,0.0,5.06,14425,27056.06,785,1.98,2.46,2.44,2.29,0.3, Competitive — Monitor
22090,PAPER BUNTING RETRO SPOTS,3.579489361702128,2.0,6.95,8819,26868.390000000003,922,3.29,3.34,4.26,3.63,-1.4, Competitive — Monitor
82484,WOOD BLACK BOARD ANT WHITE FINISH,6.934990689013036,0.0,13.57,5003,26657.75,536,6.2,6.81,7.88,6.96,-0.4, Competitive — Monitor
22083,PAPER CHAIN KIT RETRO SPOT,3.510188902007084,0.5,6.95,8877,25984.170000000002,836,3.03,3.27,4.04,3.45,1.7, Competitive — Monitor
21928,JUMBO BAG SCANDINAVIAN PAISLEY,2.2240304182509507,0.0,5.06,14285,25889.12,772,2.0,2.12,2.64,2.25,-1.2, Competitive — Monitor
21181,PLEASE ONE PERSON  METAL SIGN,2.324287090558767,0.0,4.3,12566,25659.04,1020,1.98,2.22,2.56,2.25,3.3, Competitive — Monitor
21523,FANCY FONT HOME SWEET HOME DOORMAT,8.369221374045802,0.0,16.98,3846,25616.28,652,7.87,8.33,9.57,8.59,-2.6, Competitive — Monitor
84029E,RED WOOLLY HOTTIE WHITE HEART.,4.076420798065296,2.95,8.47,7046,25521.15,810,3.57,3.93,4.3,3.93,3.7, Competitive — Monitor
84946,ANTIQUE SILVER TEA GLASS ETCHED,1.5269728601252608,0.96,2.95,18700,25306.27,927,1.4,1.43,1.65,1.49,2.5, Competitive — Monitor
37503,TEA TIME CAKE STAND IN GIFT BOX,11.628534322820038,0.0,21.7,2294,24966.63,535,10.25,11.01,13.66,11.64,-0.1, Competitive — Monitor
22470,HEART OF WICKER LARGE,3.1381455805892546,0.0,6.95,8200,24920.260000000002,1105,2.83,2.96,3.66,3.15,-0.4, Competitive — Monitor
