StockCode,Description,Avg_Price,Avg_Monthly_Qty,Elasticity,Elasticity_Category,Recommended_Price_Change
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.23,4212.0,1.888,Price Insensitive — Raise Price,+10%
84963A,PINK PAINTED KASHMIRI CHAIR,39.39,3.0,-1.125,Elastic — Maintain Price,0%
72038P,PRICE'S CANDLE PEACH,0.14,150.0,-1.133,Elastic — Maintain Price,0%
16202A,PASTEL PINK PHOTO ALBUM ,3.75,73.0,-1.151,Elastic — Maintain Price,0%
16049,TEATIME GEL PENS ASST,0.28,293.0,-1.17,Elastic — Maintain Price,0%
16202B,PASTEL BLUE PHOTO ALBUM ,3.21,100.0,-1.403,Elastic — Maintain Price,0%
84706D,CHERRY BLOSSOM TABLE CLOCK ,4.28,24.0,-1.447,Elastic — Maintain Price,0%
79337,BLUE FLOCK GLASS CANDLEHOLDER,1.01,69.0,-1.643,Highly Elastic — Consider Discount,-5%
17013D,ORIGAMI ROSE INCENSE IN TUBE,1.1,64.0,-1.673,Highly Elastic — Consider Discount,-5%
85031B,BLOSSOM IMAGES SCRAP BOOK SET,3.27,37.0,-1.682,Highly Elastic — Consider Discount,-5%
84661A,WHITE SQUARE TABLE CLOCK,1.92,18.0,-1.695,Highly Elastic — Consider Discount,-5%
16053,POPART COL BALLPOINT PEN ASST,0.16,614.0,-1.827,Highly Elastic — Consider Discount,-5%
85031C,CURIOUS IMAGES SCRAP BOOK SET,3.58,28.0,-1.882,Highly Elastic — Consider Discount,-5%
22323,BAG FOR CHILDREN VINTAGE PINK ,2.76,44.0,-1.916,Highly Elastic — Consider Discount,-5%
85224,ASSORTED COLOUR SILK GLASSES CASE,1.33,166.0,-1.98,Highly Elastic — Consider Discount,-5%
85110,BLACK SILVER FLOWER T-LIGHT HOLDER,0.39,1439.0,-2.057,Highly Elastic — Consider Discount,-5%
16162L,THE KING GIFT BAG,0.39,1344.0,-2.123,Highly Elastic — Consider Discount,-5%
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,5.09,12.0,-2.212,Highly Elastic — Consider Discount,-5%
16048,TEATIME ROUND PENCIL SHARPENER ,0.32,165.0,-2.229,Highly Elastic — Consider Discount,-5%
22375,AIRLINE BAG VINTAGE JET SET BROWN,5.56,21.0,-2.232,Highly Elastic — Consider Discount,-5%
84800L,LARGE WHITE/PINK ROSE ART FLOWER,1.72,29.0,-2.302,Highly Elastic — Consider Discount,-5%
21265,PINK GOOSE FEATHER TREE 60CM,5.62,31.0,-2.333,Highly Elastic — Consider Discount,-5%
84875D,BLUE SQUARE COMPACT MIRROR,2.31,53.0,-2.462,Highly Elastic — Consider Discount,-5%
72134,COLUMBIAN  CUBE CANDLE ,0.67,37.0,-2.494,Highly Elastic — Consider Discount,-5%
85111,SILVER GLITTER FLOWER VOTIVE HOLDER,0.88,165.0,-2.539,Highly Elastic — Consider Discount,-5%
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1.62,50.0,-2.574,Highly Elastic — Consider Discount,-5%
16202E,BLACK PHOTO ALBUM ,3.75,8.0,-2.578,Highly Elastic — Consider Discount,-5%
85131B,BEADED CRYSTAL HEART GREEN ON STICK,0.97,32.0,-2.718,Highly Elastic — Consider Discount,-5%
22314,OFFICE MUG WARMER CHOC+BLUE,4.37,42.0,-2.721,Highly Elastic — Consider Discount,-5%
90057,DIAMANTE RING ASSORTED IN BOX.,2.8,132.0,-2.722,Highly Elastic — Consider Discount,-5%
