StockCode,Description,Avg_Price,Total_Quantity,Total_Revenue,Transaction_Count,Competitor_A_Price,Competitor_B_Price,Competitor_C_Price,Market_Avg_Price,Price_vs_Market_Pct,Pricing_Flag,Elasticity,Elasticity_Category,Recommended_Price_Change,Final_Recommendation,Price_Change_Factor,Recommended_Price,Price_Difference,Pct_Price_Change,Estimated_Qty_Change_Pct,Estimated_New_Qty,Current_Revenue,Projected_Revenue,Revenue_Uplift
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.8556898192197906,56915,151624.31,3021,2.53,3.04,3.34,2.97,-3.8, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.86,0.0,0.0,-0.0,56915.0,162531.5860608944,162776.9,245.31
22423,REGENCY CAKESTAND 3 TIER,12.43850439882698,12497,143893.35,1687,11.76,12.04,13.25,12.35,0.7, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,12.44,0.0,0.0,-0.0,12497.0,155443.98947214076,155462.68,18.69
M,Manual,227.25538823529413,2630,98560.64,382,209.8,217.44,247.87,225.04,1.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,227.26,0.0,0.0,-0.0,2630.0,597681.6710588236,597693.7999999999,12.13
85099B,JUMBO BAG RED WHITE SPOTTY ,1.9076349024110217,48802,85395.9,1708,1.74,1.88,2.25,1.96,-2.7, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.91,0.0,0.0,-0.0,48802.0,93096.39850746268,93211.81999999999,115.42
84879,ASSORTED COLOUR BIRD ORNAMENT,1.6718845872899926,44551,70493.83,1333,1.45,1.6,1.84,1.63,2.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.67,-0.0,0.0,-0.0,44551.0,74484.13024835647,74400.17,-83.96
POST,POSTAGE,27.052615176151765,2212,48741.08,738,23.42,27.8,32.35,27.86,-2.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,27.05,-0.0,0.0,-0.0,2212.0,59840.3847696477,59834.6,-5.78
21843,RETRO SPOT CAKE STAND,10.872639198218263,4082,41718.34,895,9.3,11.44,13.01,11.25,-3.4, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,10.87,-0.0,0.0,-0.0,4082.0,44382.113207126946,44371.34,-10.77
48138,DOOR MAT UNION FLAG,7.2238243902439025,6349,41275.99,1016,6.77,7.42,7.88,7.36,-1.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.22,-0.0,0.0,-0.0,6349.0,45864.06105365854,45839.78,-24.28
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,2.5065267175572514,21591,40186.65,244,2.28,2.64,2.65,2.52,-0.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.51,0.0,0.0,-0.0,21591.0,54118.41835877862,54193.409999999996,74.99
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2.8974789915966386,13860,36933.5,796,2.67,2.85,3.35,2.96,-2.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.9,0.0,0.0,-0.0,13860.0,40159.05882352941,40194.0,34.94
20685,RED SPOTTY COIR DOORMAT,7.210064102564102,5644,36431.28,934,6.14,6.81,8.06,7.0,3.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.21,-0.0,0.0,-0.0,5644.0,40693.60179487179,40693.24,-0.36
47566,PARTY BUNTING,4.569793103448276,8316,35035.9,710,4.33,4.74,4.87,4.65,-1.7, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,4.57,0.0,0.0,-0.0,8316.0,38002.399448275864,38004.12,1.72
15056N,EDWARDIAN PARASOL NATURAL,5.729175050301811,7201,34044.75,496,5.35,5.6,6.62,5.86,-2.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,5.73,0.0,0.0,-0.0,7201.0,41255.78953722334,41261.73,5.94
85099F,JUMBO BAG STRAWBERRY,1.92,19291,33957.45,876,1.67,1.97,2.02,1.89,1.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.92,0.0,0.0,-0.0,19291.0,37038.72,37038.72,0.0
21621,VINTAGE UNION JACK BUNTING,8.49632275132275,4002,33852.96,742,7.38,8.18,10.03,8.53,-0.4, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,8.5,0.0,0.0,-0.0,4002.0,34002.28365079365,34017.0,14.72
20914,SET/5 RED SPOTTY LID GLASS BOWLS,2.9095588235294123,12354,33679.9,1051,2.53,2.71,3.12,2.79,4.3, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.91,0.0,0.0,-0.0,12354.0,35944.68970588236,35950.14,5.45
20725,LUNCH BAG RED SPOTTY,1.6336443791329904,20417,31933.25,1318,1.44,1.76,1.75,1.65,-1.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.63,-0.0,0.0,-0.0,20417.0,33354.117288758265,33279.71,-74.41
15056BL,EDWARDIAN PARASOL BLACK,5.7448811700182825,6709,31457.55,512,5.18,5.43,6.18,5.6,2.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,5.74,-0.0,0.0,-0.0,6709.0,38542.40776965266,38509.66,-32.75
22386,JUMBO BAG PINK WITH WHITE SPOTS,1.9230096051227321,17546,31149.6,917,1.72,2.07,2.3,2.03,-5.3, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.92,-0.0,0.0,-0.0,17546.0,33741.12653148346,33688.32,-52.81
22189,CREAM HEART CARD HOLDER,3.873757142857143,9918,29911.72,692,3.41,4.17,4.47,4.02,-3.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,3.87,-0.0,0.0,-0.0,9918.0,38419.923342857146,38382.66,-37.26
21232,STRAWBERRY CERAMIC TRINKET BOX,1.2329850746268656,25398,29779.86,1335,1.12,1.29,1.44,1.28,-3.7, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.23,-0.0,0.0,-0.0,25398.0,31315.354925373133,31239.54,-75.81
85099C,JUMBO  BAG BAROQUE BLACK WHITE,1.913625450180072,16654,29493.3,818,1.65,1.96,2.12,1.91,0.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.91,-0.0,0.0,-0.0,16654.0,31869.518247298918,31809.14,-60.38
21623,VINTAGE UNION JACK MEMOBOARD,9.767781350482315,3903,28756.489999999998,310,8.59,9.89,10.75,9.74,0.3, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,9.77,0.0,0.0,-0.0,3903.0,38123.65061093248,38132.31,8.66
21754,HOME BUILDING BLOCK WORD,5.931132075471698,4814,28206.800000000003,1174,5.26,6.28,6.44,5.99,-1.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,5.93,-0.0,0.0,-0.0,4814.0,28552.469811320756,28547.02,-5.45
21137,BLACK RECORD COVER FRAME,3.5873221757322176,8223,28144.89,237,3.21,3.47,4.03,3.57,0.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,3.59,0.0,0.0,-0.0,8223.0,29498.550251046025,29520.57,22.02
21212,PACK OF 72 RETRO SPOT CAKE CASES,0.5364312736443885,57570,27672.81,1522,0.5,0.53,0.61,0.55,-2.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,0.54,0.0,0.0,-0.0,57570.0,30882.348423707444,31087.800000000003,205.45
21733,RED HANGING HEART T-LIGHT HOLDER,2.894467054263566,9884,27386.16,994,2.52,2.95,3.31,2.93,-1.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.89,-0.0,0.0,-0.0,9884.0,28608.91236434109,28564.760000000002,-44.15
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,4.904769230769231,5859,27316.82,1020,4.42,4.84,5.34,4.87,0.7, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,4.9,-0.0,0.0,-0.0,5859.0,28737.042923076926,28709.100000000002,-27.94
79321,CHILLI LIGHTS,4.768669724770642,6085,26573.63,434,4.34,4.71,5.69,4.91,-2.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,4.77,0.0,0.0,-0.0,6085.0,29017.355275229354,29025.449999999997,8.09
21931,JUMBO STORAGE BAG SUKI,1.9272912423625255,14723,26464.85,965,1.65,1.87,2.07,1.86,3.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.93,0.0,0.0,-0.0,14723.0,28375.50896130346,28415.39,39.88
82484,WOOD BLACK BOARD ANT WHITE FINISH,6.266908315565032,4972,26035.079999999998,469,5.71,6.33,7.49,6.51,-3.7, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,6.27,0.0,0.0,-0.0,4972.0,31159.068144989338,31174.44,15.37
48194,DOORMAT HEARTS,7.261248164464023,4285,25641.37,672,6.3,7.67,7.64,7.2,0.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.26,-0.0,0.0,-0.0,4285.0,31114.448384728337,31109.1,-5.35
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1.928072033898305,14172,25610.4,921,1.65,1.84,2.16,1.88,2.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.93,0.0,0.0,-0.0,14172.0,27324.63686440678,27351.96,27.32
21929,JUMBO BAG PINK VINTAGE PAISLEY,1.9121812596006142,14542,25453.9,640,1.81,2.05,2.1,1.99,-3.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.91,-0.0,0.0,-0.0,14542.0,27806.939877112134,27775.219999999998,-31.72
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,3.061688311688312,8837,24985.25,446,2.9,3.15,3.42,3.16,-3.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,3.06,-0.0,0.0,-0.0,8837.0,27056.13961038961,27041.22,-14.92
21181,PLEASE ONE PERSON  METAL SIGN,2.0755629139072846,12550,24633.08,888,1.93,2.18,2.36,2.16,-3.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.08,0.0,0.0,-0.0,12550.0,26048.314569536422,26104.0,55.69
